CRN,Fac ID,Lname,Fname,Minitial,Position,Subject,Course,Section,Title,Campus,Active or Cncld,LEC or Oth,Crse Del Type,Session,Credits,WLF,Bud Code,Contact Hrs,Days,Beg Time,End Time,Seats CAP,Enroll,Waitlist Capacity,Waitlist Actual,Bldg,Rm,Xlist
20136,,,,,,CS,4550,1,Compilers,A01,A,LEC,P,1,3,3,BA,,MW,1500,1615,24,0,25,0,SMITH,113,
20137,,,,,,CS,4600,1,Senior Project,A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,18,0,25,0,SMITH,116,
21398,,,,,,CS,4600,2,Senior Project,A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,12,0,25,0,SMITH,109,
21944,,,,,,CS,4800R,1,Undergraduate Research,A01,A,INV,P,1,1,0,BA,,,,,10,0,5,0,,,
22751,,,,,,CS,4800R,2,Undergraduate Research,A01,A,INV,P,1,1,0,BA,,,,,5,0,0,0,,,
20608,,,,,,CS,4920R,1,Internship,A01,A,INT,P,1,1,0,BA,,,,,10,0,0,0,,,
21073,,,,,,CS,4920R,01B,Internship,A01,A,INT,P,3,1,0,BA,9,,,,10,0,10,0,,,
21910,,,,,,CS,4920R,02B,Internship,A01,A,INT,P,3,1,0,BA,,,,,10,0,0,0,,,
20609,,,,,,CS,4991R,50,Competitive Programming,A01,A,LEC,P,1,0.5,0.5,BA,,R,1900,1950,38,0,25,0,SMITH,116,
21796,,,,,,CS,4992R,1,Computer Science Seminar,A01,A,LEC,P,1,1,1,BA,,F,1300,1350,32,0,25,0,SMITH,109,
20752,,,,,,IT,1100,1,Introduction to Unix/Linux,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,23,0,25,0,SMITH,113,
21945,,,,,,IT,1100,2,Introduction to Unix/Linux,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,24,0,25,0,SMITH,113,
20310,,,,,,IT,1100,40,Introduction to Unix/Linux,O01,A,LEC,I,1,3,3,BA,,,,,23,0,24,0,ONLINE,,
20611,,,,,,IT,1200,1,A+ Computer Hardware/Windows OS,A01,A,LEC,P,1,3,3,BA,,TR,900,1015,27,0,25,0,SMITH,107,
22291,,,,,,IT,1500,40A,Cloud Fundamentals,O01,A,LEC,I,2,1,1,BA,,,,,24,0,25,0,ONLINE,,
22462,,,,,,IT,1500,41A,Cloud Fundamentals,O01,A,LEC,I,2,1,1,BA,,,,,24,0,10,0,ONLINE,,
22753,,,,,,IT,1500,42A,Cloud Fundamentals,O01,A,LEC,I,2,1,1,BA,,,,,24,0,10,0,ONLINE,,
22293,,,,,,IT,2300,1,Database Design & Management,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,24,0,0,0,SMITH,113,
21712,,,,,,IT,2300,2,Database Design & Management,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,32,0,25,0,SMITH,113,
20138,,,,,,IT,2400,1,Intro to Networking,A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,31,0,25,0,SMITH,107,
21946,,,,,,IT,2700,1,Information Security,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,32,0,25,0,SMITH,107,
22290,,,,,,IT,3100,1,Systems Design and Administration,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,32,0,25,0,SMITH,107,
20140,,,,,,IT,3110,1,System Automation,A01,A,LEC,P,1,3,3,BA,,MWF,900,950,32,0,25,0,SMITH,107,
20535,,,,,,IT,3150,1,Windows Servers,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,32,0,25,0,SMITH,107,
21237,,,,,,IT,3400,1,Intermediate Computer Networking,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,32,0,25,0,SMITH,107,
21092,,,,,,IT,4070,1,Data Visualization and Storytelling,A01,A,LEC,P,1,3,3,BA,,MW,1500,1615,10,0,10,0,UHB,200,
21238,,,,,,IT,4510,50,Ethical Hacking & Network Defense,A01,A,LEC,P,1,3,3,BA,,R,1800,2030,32,0,25,0,SMITH,107,
20147,,,,,,IT,4600,1,Senior Capstone,A01,A,LEC,P,1,3,3,BA,,MWF,800,850,32,0,0,0,SMITH,107,
22464,,,,,,IT,4910R,50,Special Topics in Applied Technology,A01,A,LEC,P,1,3,3,BA,,T,1800,2030,5,0,0,0,SMITH,107,
21074,,,,,,IT,4920R,01B,Internship,A01,A,INT,P,3,1,0,BA,9,,,,10,0,0,0,,,
22288,,,,,,IT,4990,50,Special Topics in Information Technology,A01,A,LEC,P,1,0.5,0,BA,3,W,1800,2030,32,0,25,0,SMITH,108,
21713,,,,,,SE,1400,1,Web Design Fundamentals (ALCS),A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,23,0,25,0,SMITH,112,
21715,,,,,,SE,1400,2,Web Design Fundamentals (ALCS),A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,24,0,25,0,SMITH,112,
21714,,,,,,SE,1400,40,Web Design Fundamentals (ALCS),O01,A,LEC,I,1,3,3,BA,,,,,18,0,10,0,ONLINE,,
21716,,,,,,SE,1400,42,Web Design Fundamentals (ALCS),O01,A,LEC,I,1,3,3,BA,,,,,19,0,10,0,ONLINE,,
21717,,,,,,SE,3010,1,Mobile Application Development for Android,A01,A,LEC,P,1,3,3,BA,,MW,1500,1615,24,0,25,0,SMITH,112,
21718,,,,,,SE,3100,1,Software Practices,A01,A,LEC,P,1,3,3,BA,,MWF,800,850,32,0,25,0,SMITH,108,
21719,,,,,,SE,3200,1,Web Application Development I,A01,A,LEC,P,1,3,3,BA,,TR,900,1015,32,0,25,0,SMITH,109,
21720,,,,,,SE,3450,1,User Experience Design,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,24,0,25,0,SMITH,112,
21721,,,,,,SE,3500,1,Tech Entrepreneurship,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,32,0,25,0,SMITH,108,
21722,,,,,,SE,3550,1,Online Marketing and SEO (ALCS),A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,24,0,25,0,SMITH,112,
21723,,,,,,SE,4200,1,Web Application Development II,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,24,0,25,0,SMITH,112,
21724,,,,,,SE,4600,1,Senior Project,A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,20,0,25,0,SMITH,109,
22922,,,,,,SE,4900R,1,Independent Research,A01,A,INV,P,1,1,0,BA,,,,,0,0,0,0,,,
22944,,,,,,SE,4900R,2,Independent Research,A01,A,INV,P,1,1,0,BA,,,,,0,0,0,0,,,
21835,,,,,,SE,4920,1,Internship (ALPP),A01,A,INT,P,1,3,0,BA,,,,,10,0,0,0,,,
